Test acc,Training acc,Test time,Training time,Epochs,Training size,Batchsize,Learning rate,Momentum,EpochLrDecrease,Backprop prob,Seed,Hidden Units1
82,94.36997,6.6E-05,0.0063162,4,373,14,0.0076428573,0.5817879,0.84925663,0.98434657,13691,31
56,31.592688,5.63E-05,0.0014804,3,383,79,0.0095403595,0.21220227,0.89013493,0.8308084,16940,26
76,90.57377,5.52E-05,0.0031033,5,488,96,0.0053913407,0.21893872,0.88231444,0.90506625,46814,20
72,71.823204,6.07E-05,0.0017504,3,362,89,0.009830578,0.46745795,0.83193475,0.9657471,72055,33
73,66.768295,6.87E-05,0.0019882,4,328,94,0.008417467,0.24485023,0.8249888,0.9737966,34358,30
80,81.34172,8.55E-05,0.0025871,3,477,89,0.003546672,0.4901929,0.86311233,0.87347656,17062,44
75,88.16326,6.99E-05,0.0049144,5,490,68,0.005156351,0.26142535,0.86680144,0.8689763,39307,30
72,84.31373,8.67E-05,0.0030982,3,408,39,0.008486812,0.42832398,0.8233021,0.95222485,12554,26
82,96.38243,7.1E-05,0.0064083,4,387,16,0.009856747,0.56565285,0.8484646,0.83536696,40735,38
67,70.53292,7.27E-05,0.0034587,5,319,40,0.0014073813,0.5438614,0.8483122,0.85095423,91758,24
80,92.291664,6.55E-05,0.0059709,3,480,14,0.0087092435,0.41858494,0.8709896,0.93294466,63729,33
65,67.72152,7.7E-05,0.0025647,5,316,68,0.0021424638,0.20272325,0.87237245,0.86944777,96330,21
72,72.21007,6.93E-05,0.0023849,3,457,91,0.009387604,0.55698085,0.8725499,0.87071013,24283,34
84,90.93137,6.16E-05,0.0043469,4,408,31,0.0096329395,0.18617302,0.80165565,0.9518418,38947,33
69,85.01529,7.63E-05,0.0030743,4,327,53,0.0055167773,0.41748342,0.8137816,0.8519709,70300,29
66,68.04124,9.97E-05,0.0028037,5,388,99,0.008301469,0.55701435,0.8264989,0.9597054,44950,26
66,75.88076,6.72E-05,0.0038807,4,369,33,0.0020885845,0.2246784,0.8450607,0.86301965,96777,25
72,81.86398,6.38E-05,0.0054078,4,397,24,0.0017928198,0.26989996,0.8642667,0.92818457,83428,33
79,76.296295,8.3E-05,0.0037457,5,405,86,0.009904798,0.29585356,0.82719505,0.82914376,51083,43
80,81.7734,0.0001211,0.0041494,5,406,71,0.00680192,0.21976314,0.87630737,0.8933067,38738,40
81,94.38776,9.89E-05,0.0055283,5,392,39,0.008121223,0.35311627,0.8142619,0.97217077,43885,41
79,89.34426,4.91E-05,0.0033998,4,366,35,0.008494055,0.38379985,0.81495506,0.9567321,58386,33
69,56.75676,7.92E-05,0.0023056,3,444,80,0.0016391969,0.14182162,0.8070665,0.81043905,1914,27
74,74.18604,9.44E-05,0.0024503,3,430,94,0.0059726257,0.44578943,0.8235339,0.99015945,82792,46
70,80.46272,8.15E-05,0.0031522,3,389,42,0.0031687152,0.3085238,0.87797415,0.9827837,77328,39
87,82,6.24E-05,0.0041622,5,500,63,0.0075339973,0.3397726,0.8671624,0.9004147,95398,33
67,67.64706,6.92E-05,0.0023501,5,306,87,0.008635849,0.13784927,0.87867737,0.99797773,93555,32
78,86.038956,6.84E-05,0.0039027,4,308,26,0.0055409507,0.5712307,0.8403112,0.9345201,26356,49
